nom;type;number_count;numbers
Rue Puig de Ritalongi;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Rue Quillivic;voie;10;1,2,4,6,8,10,12,14,16,18
Rue Rabelais;voie;6;1,2,3,4,6,8
Rue Raymond Guenet;voie;46;1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,45,47,49,51,53,55,57,59
Rue Raymonde Folgoas Guillou;voie;12;1,2,3,4,5,6,7,8,9,13,15,17
Rue René Cotty;voie;13;1,2,3,4,5,6,7,9,11,13,15,17,19
Rue Roger Signor;voie;23;1,2,6,8,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,29,30
Rue Saint-Jacques;voie;3;1,5,7
Rue Sebastien Jolivet;voie;8;1,2,3,4,6,7,8,10
Rue Surcouf;voie;9;1,2,3,4,5,6,7,8,9
Rue Théodore Botrel;voie;36;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,36,38,40,42
Rue Traverse;voie;10;1,2,3,4,5,6,7,8,9,10
Rue Victor Hugo;voie;47;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,50,52,54
Rue Voltaire;voie;5;2,4,6,8,10
Rue Xavier Grall;voie;12;1,2,3,4,5,6,8,10,12,14,16,18
Rue Youen Drezen;voie;20;1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,19,21,23,25,27
Sequer;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Trébéhoret de Imp.;voie;2;10,12
Trébéhoret;voie;1;17
Treouguy;voie;1;1
Troliguer;voie;2;25,40
Venelle de Kerembleis;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Venelle de Treouguy;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18
Venelle de Troliguer;voie;5;1,2,3,4,5
Venelle des Ajoncs;voie;14;1,3,4,5,6,7,8,9,10,11,12,13,15,17
Venelle des Cormes;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18
Venelle des Glénan;voie;5;1,2,3,4,5
Venelle des Pins;voie;5;1,2,3,4,5
Venelle Dorée;voie;4;2,4,6,8
Venelle Gwel Kaer;voie;5;1,2,3,4,5
Village de Goarem-Guéon;voie;14;3,4,5,6,7,8,9,12,14,16,18,20,22,24
ZA de Kerouant;voie;5;1,2,3,4,5
Kerfez;lieux-dit;0;
